Codigo de Atendimento;Clínica ;CPF ;Data;Dia;Tempo de Espera em minutos ;Tipo de Exame ;Horario Agendamento;Turno
1;CLIEDA;45097947156;06/ago;Qua;18;Exames de urina;13:00:00;Tarde
2;CLIEDA;40283494256;07/ago;Qui;28;Exames de retina;15:00:00;Tarde
3;CLIDRI;48123504259;08/ago;Sex;7;Exames de sangue;12:00:00;Manhã 
4;CLIGIA;30323032725;08/ago;Sex;13;Raio-x do tórax;13:00:00;Tarde
5;CLIDRI;98545784688;07/ago;Qui;24;Exames de urina;13:00:00;Tarde
6;CLIEDA;13853475855;08/ago;Sex;29;Exames de retina;13:00:00;Tarde
7;CLIGIA;64397869087;06/ago;Qua;19;Exames de sangue;10:00:00;Manhã 
8;CLIGIA;51367868815;05/ago;Ter;16;Exames de sangue;14:00:00;Tarde
9;CLIDRI;47850829455;05/ago;Ter;27;Testes de Covid;15:00:00;Tarde
10;CLIGIA;34193062998;07/ago;Qui;16;Exames de urina;15:00:00;Tarde
11;CLIEDA;74300634756;06/ago;Qua;28;Exames de sangue;12:00:00;Manhã 
12;CLIDRI;16033629880;07/ago;Qui;12;Exames de retina;12:00:00;Manhã 
13;CLIGIA;43270151314;04/ago;Seg;24;Raio-x do tórax;15:00:00;Tarde
14;CLIGIA;29611202372;04/ago;Seg;29;Exames de urina;09:00:00;Manhã 
15;CLIEDA;65669238005;07/ago;Qui;12;Raio-x do tórax;10:00:00;Manhã 
16;CLIDRI;97527768291;06/ago;Qua;23;Exames de sangue;13:00:00;Tarde
17;CLIGIA;36778576982;04/ago;Seg;15;Exames de urina;08:00:00;Manhã 
18;CLIDRI;96742237954;08/ago;Sex;14;Exames de urina;11:00:00;Manhã 
19;CLIDRI;66316027237;07/ago;Qui;17;Exames de retina;13:00:00;Tarde
20;CLIGIA;83993288390;04/ago;Seg;11;Exames de retina;14:00:00;Tarde
21;CLIEDA;20871468722;04/ago;Seg;22;Testes de Covid;08:00:00;Manhã 
22;CLIDRI;44461316464;06/ago;Qua;28;Raio-x do tórax;11:00:00;Manhã 
23;CLIEDA;60002142421;05/ago;Ter;7;Exames de urina;12:00:00;Manhã 
24;CLIEDA;49188739812;04/ago;Seg;9;Raio-x do tórax;16:00:00;Tarde
25;CLIEDA;47910278175;06/ago;Qua;9;Exames de retina;13:00:00;Tarde
26;CLIDRI;20072375451;05/ago;Ter;7;Testes de Covid;12:00:00;Manhã 
27;CLIGIA;79499241062;05/ago;Ter;26;Exames de sangue;15:00:00;Tarde
28;CLIDRI;40290175181;06/ago;Qua;23;Raio-x do tórax;10:00:00;Manhã 
29;CLIDRI;69194204975;07/ago;Qui;30;Exames de retina;09:00:00;Manhã 
30;CLIEDA;66929861236;08/ago;Sex;28;Testes de Covid;11:00:00;Manhã 
31;CLIGIA;22531509528;08/ago;Sex;15;Exames de urina;08:00:00;Manhã 
32;CLIEDA;47656229252;04/ago;Seg;22;Exames de retina;11:00:00;Manhã 
33;CLIDRI;98805550084;04/ago;Seg;25;Raio-x do tórax;17:00:00;Tarde
34;CLIGIA;82556133689;05/ago;Ter;29;Testes de Covid;10:00:00;Manhã 
35;CLIGIA;85817498131;08/ago;Sex;21;Testes de Covid;08:00:00;Manhã 
36;CLIEDA;96837155536;07/ago;Qui;13;Exames de retina;13:00:00;Tarde
37;CLIGIA;90332626780;05/ago;Ter;21;Raio-x do tórax;14:00:00;Tarde
38;CLIEDA;39259554456;04/ago;Seg;28;Exames de sangue;17:00:00;Tarde
39;CLIEDA;31824803774;05/ago;Ter;20;Exames de retina;09:00:00;Manhã 
40;CLIDRI;38840892985;04/ago;Seg;26;Exames de retina;17:00:00;Tarde
41;CLIDRI;41752416259;05/ago;Ter;16;Exames de urina;08:00:00;Manhã 
42;CLIGIA;51614714579;06/ago;Qua;18;Testes de Covid;11:00:00;Manhã 
43;CLIDRI;88920418377;07/ago;Qui;12;Exames de urina;08:00:00;Manhã 
44;CLIGIA;52027273824;07/ago;Qui;23;Exames de urina;11:00:00;Manhã 
45;CLIGIA;78834392970;05/ago;Ter;26;Testes de Covid;13:00:00;Tarde
46;CLIGIA;19549209546;07/ago;Qui;18;Exames de sangue;14:00:00;Tarde
47;CLIGIA;93294311448;04/ago;Seg;11;Exames de sangue;12:00:00;Manhã 
48;CLIEDA;44431299981;06/ago;Qua;20;Raio-x do tórax;14:00:00;Tarde
49;CLIDRI;19318061240;07/ago;Qui;15;Raio-x do tórax;12:00:00;Manhã 
50;CLIGIA;57071052688;05/ago;Ter;5;Exames de sangue;10:00:00;Manhã 
51;CLIGIA;32994810657;06/ago;Qua;6;Testes de Covid;17:00:00;Tarde
52;CLIGIA;25582582243;04/ago;Seg;22;Exames de retina;12:00:00;Manhã 
53;CLIDRI;18764341122;05/ago;Ter;16;Exames de urina;10:00:00;Manhã 
54;CLIEDA;60886564316;04/ago;Seg;17;Exames de urina;15:00:00;Tarde
55;CLIGIA;54374398988;05/ago;Ter;15;Testes de Covid;11:00:00;Manhã 
56;CLIEDA;84606592129;05/ago;Ter;8;Exames de sangue;08:00:00;Manhã 
57;CLIEDA;72473721567;07/ago;Qui;21;Exames de urina;11:00:00;Manhã 
58;CLIEDA;18572232274;05/ago;Ter;15;Exames de sangue;09:00:00;Manhã 
59;CLIEDA;32314541797;07/ago;Qui;18;Raio-x do tórax;14:00:00;Tarde
60;CLIGIA;61209449606;07/ago;Qui;27;Raio-x do tórax;08:00:00;Manhã 
61;CLIDRI;76437067938;08/ago;Sex;29;Exames de retina;15:00:00;Tarde
62;CLIDRI;61194600613;08/ago;Sex;18;Exames de sangue;08:00:00;Manhã 
63;CLIEDA;12485787631;08/ago;Sex;7;Exames de sangue;15:00:00;Tarde
64;CLIGIA;14314751893;07/ago;Qui;22;Exames de urina;17:00:00;Tarde
65;CLIGIA;24912669440;08/ago;Sex;7;Exames de sangue;10:00:00;Manhã 
66;CLIDRI;65888761013;08/ago;Sex;7;Exames de retina;11:00:00;Manhã 
67;CLIEDA;66721422277;08/ago;Sex;9;Exames de urina;08:00:00;Manhã 
68;CLIDRI;97649417068;08/ago;Sex;10;Exames de sangue;15:00:00;Tarde
69;CLIEDA;86515516610;08/ago;Sex;18;Raio-x do tórax;10:00:00;Manhã 
70;CLIEDA;19477019411;07/ago;Qui;22;Testes de Covid;09:00:00;Manhã 
71;CLIEDA;14015338594;07/ago;Qui;20;Exames de urina;10:00:00;Manhã 
72;CLIGIA;39759147737;08/ago;Sex;28;Testes de Covid;09:00:00;Manhã 
73;CLIGIA;28243081579;08/ago;Sex;13;Testes de Covid;13:00:00;Tarde
74;CLIDRI;76298835314;07/ago;Qui;15;Raio-x do tórax;10:00:00;Manhã 
75;CLIGIA;96061893921;07/ago;Qui;6;Testes de Covid;15:00:00;Tarde
76;CLIDRI;85529830763;07/ago;Qui;8;Exames de urina;08:00:00;Manhã 
77;CLIEDA;47388689078;08/ago;Sex;10;Raio-x do tórax;16:00:00;Tarde
78;CLIDRI;92414105572;07/ago;Qui;12;Exames de urina;17:00:00;Tarde
79;CLIEDA;18113945735;08/ago;Sex;9;Exames de urina;08:00:00;Manhã 
80;CLIDRI;90320960639;08/ago;Sex;14;Exames de retina;12:00:00;Manhã 
81;CLIGIA;25220977815;07/ago;Qui;28;Raio-x do tórax;15:00:00;Tarde
82;CLIEDA;89884205526;08/ago;Sex;27;Exames de retina;11:00:00;Manhã 
83;CLIEDA;16175590610;07/ago;Qui;15;Exames de sangue;16:00:00;Tarde
84;CLIEDA;81558464525;08/ago;Sex;21;Exames de retina;11:00:00;Manhã 
85;CLIEDA;23878272351;07/ago;Qui;10;Testes de Covid;15:00:00;Tarde
86;CLIEDA;93530010513;08/ago;Sex;7;Exames de urina;10:00:00;Manhã 
87;CLIEDA;98735472184;08/ago;Sex;17;Raio-x do tórax;09:00:00;Manhã 
88;CLIEDA;11192615043;08/ago;Sex;25;Testes de Covid;14:00:00;Tarde
89;CLIEDA;13402155482;08/ago;Sex;27;Raio-x do tórax;10:00:00;Manhã 
90;CLIEDA;65023792764;07/ago;Qui;15;Exames de sangue;10:00:00;Manhã 
91;CLIEDA;50144853013;07/ago;Qui;60;Raio-x do tórax;16:00:00;Tarde
92;CLIEDA;66115679237;08/ago;Sex;19;Testes de Covid;12:00:00;Manhã 
93;CLIEDA;18756698912;07/ago;Qui;9;Testes de Covid;16:00:00;Tarde
94;CLIEDA;34396642357;05/ago;Ter;17;Testes de Covid;12:00:00;Manhã 
95;CLIEDA;23111293615;08/ago;Sex;12;Exames de urina;08:00:00;Manhã 
96;CLIEDA;56203378632;05/ago;Ter;21;Testes de Covid;09:00:00;Manhã 
97;CLIEDA;61213667594;04/ago;Seg;30;Exames de retina;15:00:00;Tarde
98;CLIEDA;89891873367;05/ago;Ter;6;Exames de urina;08:00:00;Manhã 
99;CLIEDA;12565684961;04/ago;Seg;12;Raio-x do tórax;11:00:00;Manhã 
100;CLIEDA;20488804998;08/ago;Sex;15;Raio-x do tórax;11:00:00;Manhã 
101;CLIEDA;89686831031;07/ago;Qui;30;Raio-x do tórax;11:00:00;Manhã 
102;CLIEDA;11988888265;08/ago;Sex;13;Raio-x do tórax;11:00:00;Manhã 
103;CLIEDA;37962647829;05/ago;Ter;26;Raio-x do tórax;11:00:00;Manhã 
104;CLIEDA;19059040849;04/ago;Seg;28;Raio-x do tórax;11:00:00;Manhã 
105;CLIEDA;38556237437;08/ago;Sex;12;Raio-x do tórax;11:00:00;Manhã 
106;CLIEDA;78067841284;08/ago;Sex;24;Raio-x do tórax;17:00:00;Tarde
107;CLIEDA;77244074687;07/ago;Qui;25;Raio-x do tórax;13:00:00;Tarde
108;CLIEDA;19928185927;04/ago;Seg;12;Raio-x do tórax;17:00:00;Tarde
109;CLIDRI;56129952102;07/ago;Qui;11;Raio-x do tórax;10:00:00;Manhã 
110;CLIDRI;74764255851;05/ago;Ter;21;Raio-x do tórax;09:00:00;Manhã 
111;CLIEDA;72982737475;05/ago;Ter;59;Raio-x do tórax;16:00:00;Tarde
112;CLIDRI;17040645079;08/ago;Sex;5;Raio-x do tórax;11:00:00;Manhã 
113;CLIGIA;11999628279;06/ago;Qua;0;Raio-x do tórax;17:00:00;Tarde
114;CLIDRI;58537443036;04/ago;Seg;24;Testes de Covid;08:00:00;Manhã 
115;CLIGIA;93910311147;05/ago;Ter;10;Exames de urina;09:00:00;Manhã 
116;CLIGIA;50843445662;05/ago;Ter;25;Exames de sangue;16:00:00;Tarde
117;CLIGIA;48987919870;04/ago;Seg;20;Exames de urina;14:00:00;Tarde
118;CLIEDA;14634912404;08/ago;Sex;10;Exames de retina;09:00:00;Manhã 
119;CLIDRI;90187316185;06/ago;Qua;12;Exames de sangue;16:00:00;Tarde
120;CLIGIA;55964008564;04/ago;Seg;28;Testes de Covid;09:00:00;Manhã 
121;CLIGIA;89941358608;04/ago;Seg;29;Raio-x do tórax;08:00:00;Manhã 
122;CLIDRI;17769005561;06/ago;Qua;12;Exames de urina;15:00:00;Tarde
123;CLIDRI;73982618188;07/ago;Qui;21;Exames de sangue;10:00:00;Manhã 
124;CLIGIA;55021959932;06/ago;Qua;8;Testes de Covid;13:00:00;Tarde
125;CLIGIA;39596403401;07/ago;Qui;30;Exames de urina;09:00:00;Manhã 
126;CLIEDA;72468885523;04/ago;Seg;28;Exames de sangue;12:00:00;Manhã 
127;CLIEDA;74292456446;08/ago;Sex;13;Testes de Covid;13:00:00;Tarde
128;CLIEDA;54343128357;06/ago;Qua;20;Exames de urina;10:00:00;Manhã 
129;CLIGIA;24644235513;04/ago;Seg;12;Testes de Covid;17:00:00;Tarde
130;CLIEDA;54518378547;05/ago;Ter;25;Testes de Covid;11:00:00;Manhã 
131;CLIGIA;53475345130;04/ago;Seg;24;Exames de urina;17:00:00;Tarde
132;CLIDRI;42222203802;05/ago;Ter;9;Testes de Covid;09:00:00;Manhã 
133;CLIDRI;86872483930;06/ago;Qua;14;Exames de urina;11:00:00;Manhã 
134;CLIDRI;95930652551;05/ago;Ter;5;Exames de sangue;09:00:00;Manhã 
135;CLIDRI;71403658521;06/ago;Qua;14;Exames de sangue;12:00:00;Manhã 
136;CLIEDA;44459634407;05/ago;Ter;9;Raio-x do tórax;15:00:00;Tarde
137;CLIGIA;82734938459;04/ago;Seg;29;Raio-x do tórax;08:00:00;Manhã 
138;CLIEDA;52787004832;07/ago;Qui;22;Raio-x do tórax;12:00:00;Manhã 
139;CLIDRI;17151974464;05/ago;Ter;7;Exames de urina;10:00:00;Manhã 
140;CLIEDA;95232703240;06/ago;Qua;20;Exames de urina;12:00:00;Manhã 
141;CLIDRI;65348124538;08/ago;Sex;30;Raio-x do tórax;09:00:00;Manhã 
142;CLIDRI;37757061110;04/ago;Seg;27;Exames de urina;11:00:00;Manhã 
143;CLIDRI;79630992768;04/ago;Seg;6;Testes de Covid;11:00:00;Manhã 
144;CLIEDA;37394116068;06/ago;Qua;5;Exames de sangue;08:00:00;Manhã 
145;CLIDRI;72393698756;04/ago;Seg;8;Exames de sangue;10:00:00;Manhã 
146;CLIGIA;89571581980;04/ago;Seg;12;Exames de retina;09:00:00;Manhã 
147;CLIGIA;80704456034;06/ago;Qua;23;Exames de retina;09:00:00;Manhã 
148;CLIEDA;46647897202;07/ago;Qui;17;Testes de Covid;09:00:00;Manhã 
149;CLIEDA;18033772556;05/ago;Ter;23;Exames de retina;16:00:00;Tarde
150;CLIDRI;28725283259;07/ago;Qui;8;Exames de retina;13:00:00;Tarde
151;CLIDRI;72739026462;08/ago;Sex;27;Exames de urina;12:00:00;Manhã 
152;CLIGIA;59676785327;07/ago;Qui;13;Exames de urina;12:00:00;Manhã 
153;CLIGIA;79077757631;05/ago;Ter;7;Exames de urina;12:00:00;Manhã 
154;CLIDRI;35355418652;06/ago;Qua;5;Testes de Covid;12:00:00;Manhã 
155;CLIGIA;48477026355;07/ago;Qui;24;Raio-x do tórax;08:00:00;Manhã 
156;CLIGIA;64609372905;05/ago;Ter;23;Raio-x do tórax;16:00:00;Tarde
157;CLIGIA;47404816081;07/ago;Qui;19;Exames de urina;13:00:00;Tarde
158;CLIDRI;72193656395;05/ago;Ter;23;Testes de Covid;15:00:00;Tarde
159;CLIDRI;57862810041;06/ago;Qua;14;Raio-x do tórax;13:00:00;Tarde
160;CLIEDA;58938872869;08/ago;Sex;28;Exames de retina;09:00:00;Manhã 
161;CLIEDA;30153599467;04/ago;Seg;9;Exames de retina;13:00:00;Tarde
162;CLIDRI;17351069880;08/ago;Sex;24;Exames de retina;12:00:00;Manhã 
163;CLIGIA;52098878077;05/ago;Ter;14;Exames de sangue;09:00:00;Manhã 
164;CLIGIA;33309272635;06/ago;Qua;28;Testes de Covid;16:00:00;Tarde
165;CLIEDA;38030776952;06/ago;Qua;18;Exames de sangue;09:00:00;Manhã 
166;CLIGIA;72166736243;05/ago;Ter;27;Raio-x do tórax;09:00:00;Manhã 
167;CLIEDA;36959637403;04/ago;Seg;6;Testes de Covid;13:00:00;Tarde
168;CLIGIA;91037160506;04/ago;Seg;25;Testes de Covid;09:00:00;Manhã 
169;CLIDRI;57710188524;05/ago;Ter;6;Raio-x do tórax;15:00:00;Tarde
170;CLIEDA;72540148287;07/ago;Qui;11;Exames de sangue;15:00:00;Tarde
171;CLIEDA;99050181036;06/ago;Qua;12;Exames de retina;10:00:00;Manhã 
172;CLIEDA;92774490459;04/ago;Seg;5;Exames de sangue;11:00:00;Manhã 
173;CLIDRI;94177654947;07/ago;Qui;19;Raio-x do tórax;09:00:00;Manhã 
174;CLIDRI;37729796818;05/ago;Ter;16;Exames de urina;14:00:00;Tarde
175;CLIDRI;99392983848;04/ago;Seg;28;Exames de urina;09:00:00;Manhã 
176;CLIGIA;37663856963;08/ago;Sex;15;Exames de urina;08:00:00;Manhã 
177;CLIEDA;84934849483;05/ago;Ter;10;Testes de Covid;11:00:00;Manhã 
178;CLIGIA;36909672198;08/ago;Sex;16;Raio-x do tórax;14:00:00;Tarde
179;CLIDRI;11599110593;06/ago;Qua;9;Exames de urina;09:00:00;Manhã 
180;CLIGIA;25029657483;06/ago;Qua;16;Testes de Covid;16:00:00;Tarde
181;CLIGIA;19527346404;06/ago;Qua;20;Exames de retina;16:00:00;Tarde
182;CLIDRI;78184925147;06/ago;Qua;26;Exames de retina;16:00:00;Tarde
